NmZ,N,Z,A,El,Mass_Excess,Binding_Energy,Beta_decay_Energy,AMU
-3,31,34,65,Se,-33020.0,8170.0,-16529.0,964552.0
-5,30,35,65,Br,-16490.0,7904.0,0.0,982297.0
20,43,23,66,V,-6300.0,7894.0,18840.0,993237.0
18,42,24,66,Cr,-25140.0,8168.0,11610.0,973011.0
16,41,25,66,Mn,-36750.392,8331.7986,13317.4541015625,960546.833
14,40,26,66,Fe,-50067.847,8521.7245,6340.6943359375,946249.958
12,39,27,66,Co,-56408.541,8605.9419,9597.751953125,939442.943
10,38,28,66,Ni,-66006.293,8739.5086,251.9958038330078,929139.333
8,37,29,66,Cu,-66258.289,8731.473,2640.939697265625,928868.804
6,36,30,66,Zn,-68899.229,8759.6335,-5175.5,926033.639
4,35,31,66,Ga,-63723.729,8669.3631,-2116.68798828125,931589.766
2,34,32,66,Ge,-61607.041,8625.4383,-9581.95703125,933862.124
0,33,33,66,As,-52025.084,8468.4034,-10365.0,944148.778
-2,32,34,66,Se,-41660.0,8300.0,-18091.0,955276.0
-4,31,35,66,Br,-23570.0,8014.0,0.0,974697.0
21,44,23,67,V,-1744.0,7829.0,17526.0,998128.0
19,43,24,67,Cr,-19270.0,8079.0,14311.0,979313.0
17,42,25,67,Mn,-33580.0,8281.0,12128.0,963950.0
15,41,26,67,Fe,-45708.416,8449.9359,9613.3681640625,950930.0
13,40,27,67,Co,-55321.783,8581.7422,8420.904296875,940609.625
11,39,28,67,Ni,-63742.688,8695.7505,3576.865478515625,931569.413
9,38,29,67,Cu,-67319.553,8737.4597,560.8225708007812,927729.49
7,37,30,67,Zn,-67880.376,8734.1534,-1001.2200927734375,927127.422
5,36,31,67,Ga,-66879.156,8707.533,-4205.43798828125,928202.276
3,35,32,67,Ge,-62673.718,8633.0884,-6086.48583984375,932716.999
1,34,33,67,As,-56587.232,8530.5685,-10006.9384765625,939251.11
-1,33,34,67,Se,-46580.294,8369.5344,-14051.0,949994.0
-3,32,35,67,Br,-32530.0,8148.0,-16978.0,965078.0
-5,31,36,67,Kr,-15552.0,7883.0,0.0,983305.0
20,44,24,68,Cr,-15690.0,8026.0,13230.0,983156.0
18,43,25,68,Mn,-28920.0,8209.0,14977.0,968953.0
16,42,26,68,Fe,-43897.0,8418.0,7746.0,952875.0
14,41,27,68,Co,-51642.591,8520.1301,11821.2314453125,944559.401
12,40,28,68,Ni,-63463.822,8682.4667,2103.220458984375,931868.787
10,39,29,68,Cu,-65567.043,8701.8913,4440.111328125,929610.887
8,38,30,68,Zn,-70007.154,8755.682,-2921.10009765625,924844.232
6,37,31,68,Ga,-67086.054,8701.2195,-107.25550079345703,927980.161
4,36,32,68,Ge,-66978.799,8688.1371,-8084.271484375,928095.305
2,35,33,68,As,-58894.527,8557.7457,-4705.07861328125,936774.127
0,34,34,68,Se,-54189.449,8477.0482,-15398.0,941825.236
-2,33,35,68,Br,-38791.0,8239.0,-13165.0,958356.0
-4,32,36,68,Kr,-25626.0,8034.0,0.0,972489.0
21,45,24,69,Cr,-9630.0,7939.0,15730.0,989662.0
19,44,25,69,Mn,-25360.0,8155.0,13839.0,972775.0
17,43,26,69,Fe,-39199.0,8345.0,11186.0,957918.0
15,42,27,69,Co,-50385.447,8495.4062,9593.2080078125,945909.0
13,41,28,69,Ni,-59978.656,8623.0998,5757.56494140625,935610.267
11,40,29,69,Cu,-65736.221,8695.2044,2681.685302734375,929429.267
9,39,30,69,Zn,-68417.906,8722.7311,909.9133911132812,926550.36
7,38,31,69,Ga,-69327.82,8724.5798,-2227.1455078125,925573.528
5,37,32,69,Ge,-67100.674,8680.964,-3988.49267578125,927964.467
3,36,33,69,As,-63112.181,8611.8214,-6677.46728515625,932246.289
1,35,34,69,Se,-56434.714,8503.7082,-10175.236328125,939414.845
-1,34,35,69,Br,-46259.478,8344.9026,-14119.0,950338.41
-3,33,36,69,Kr,-32140.0,8129.0,0.0,965496.0
22,46,24,70,Cr,-5640.0,7884.0,14810.0,993945.0
20,45,25,70,Mn,-20450.0,8084.0,16440.0,978046.0
18,44,26,70,Fe,-36890.0,8308.0,9635.0,960397.0
16,43,27,70,Co,-46524.963,8434.198,12688.9052734375,950053.4
14,42,28,70,Ni,-59213.868,8604.2917,3762.51220703125,936431.3
12,41,29,70,Cu,-62976.381,8646.8655,6588.36767578125,932392.078
10,40,30,70,Zn,-69564.748,8729.8086,-654.597900390625,925319.175
8,39,31,70,Ga,-68910.15,8709.2808,1651.8861083984375,926021.914
6,38,32,70,Ge,-70562.036,8721.7028,-6228.06298828125,924248.542
4,37,33,70,As,-64333.973,8621.5541,-2404.07373046875,930934.642
2,36,34,70,Se,-61929.9,8576.0338,-10504.2724609375,933515.521
0,35,35,70,Br,-51425.627,8414.7964,-10325.0,944792.321
-2,34,36,70,Kr,-41100.0,8256.0,0.0,955877.0
21,46,25,71,Mn,-16620.0,8030.0,15310.0,982158.0
19,45,26,71,Fe,-31930.0,8235.0,12440.0,965722.0
17,44,27,71,Co,-44369.93,8398.7344,11036.3056640625,952366.923
15,43,28,71,Ni,-55406.236,8543.1564,7304.89892578125,940518.962
13,42,29,71,Cu,-62711.134,8635.0233,4617.65185546875,932676.831
11,41,30,71,Zn,-67328.786,8689.0417,2810.340576171875,927719.578
9,40,31,71,Ga,-70139.127,8717.605,-232.4698028564453,924702.554
7,39,32,71,Ge,-69906.657,8703.3118,-2013.4000244140625,924952.12
5,38,33,71,As,-67893.257,8663.935,-4746.7421875,927113.594
3,37,34,71,Se,-63146.515,8586.0606,-6644.08837890625,932209.431
1,36,35,71,Br,-56502.426,8481.4629,-10175.2158203125,939342.153
-1,35,36,71,Kr,-46327.211,8327.131,-14037.0,950265.695
-3,34,37,71,Rb,-32290.0,8118.0,0.0,965335.0
22,47,25,72,Mn,-11170.0,7955.0,18080.0,988009.0
20,46,26,72,Fe,-29250.0,8195.0,11050.0,968599.0
18,45,27,72,Co,-40300.0,8338.0,13926.0,956736.0
16,44,28,72,Ni,-54226.068,8520.2118,5556.93798828125,941785.924
14,43,29,72,Cu,-59783.006,8586.5256,8362.48828125,935820.306
12,42,30,72,Zn,-68145.495,8691.8053,442.7892150878906,926842.806
10,41,31,72,Ga,-68588.284,8687.0893,3997.626220703125,926367.452
8,40,32,72,Ge,-72585.91,8731.7459,-4356.10205078125,922075.824
6,39,33,72,As,-68229.808,8660.3786,-361.619384765625,926752.291
4,38,34,72,Se,-67868.189,8644.4902,-8806.4384765625,927140.506
2,37,35,72,Br,-59061.75,8511.3126,-5121.16845703125,936594.606
0,36,36,72,Kr,-53940.582,8429.3193,-15611.0,942092.406
-2,35,37,72,Rb,-38330.0,8202.0,0.0,958851.0
23,48,25,73,Mn,-6700.0,7895.0,17289.0,992807.0
21,47,26,73,Fe,-23990.0,8121.0,13980.0,974246.0
19,46,27,73,Co,-37970.0,8302.0,12139.0,959238.0
17,45,28,73,Ni,-50108.159,8457.6529,8879.28515625,946206.681
15,44,29,73,Cu,-58987.445,8568.5699,6605.9658203125,936674.376
13,43,30,73,Zn,-65593.411,8648.3455,4105.93310546875,929582.58
11,42,31,73,Ga,-69699.343,8693.874,1598.1888427734375,925174.68
9,41,32,73,Ge,-71297.532,8705.05,-344.7759094238281,923458.954
7,40,33,73,As,-70952.757,8689.6099,-2725.3603515625,923829.086
5,39,34,73,Se,-68227.396,8641.5591,-4581.609375,926754.881
3,38,35,73,Br,-63645.787,8568.0803,-7094.02880859375,931673.441
1,37,36,73,Kr,-56551.758,8460.1847,-10540.146484375,939289.193
-1,36,37,73,Rb,-46011.611,8305.0821,-14061.0,950604.506
-3,35,38,73,Sr,-31950.0,8102.0,0.0,965700.0
22,48,26,74,Fe,-20660.0,8076.0,12881.0,977821.0
20,47,27,74,Co,-33540.0,8239.0,15160.0,963993.0
18,46,28,74,Ni,-48700.0,8433.0,7306.0,947718.0
16,45,29,74,Cu,-56006.213,8521.5633,9750.5078125,939874.86
14,44,30,74,Zn,-65756.72,8642.7547,2292.90576171875,929407.26
12,43,31,74,Ga,-68049.626,8663.1676,5372.82470703125,926945.725
10,42,32,74,Ge,-73422.451,8725.2011,-2562.38720703125,921177.76
8,41,33,74,As,-70860.064,8680.002,1353.146728515625,923928.596
6,40,34,74,Se,-72213.21,8687.7155,-6925.04931640625,922475.933
4,39,35,74,Br,-65288.161,8583.5615,-2956.3173828125,929910.279
2,38,36,74,Kr,-62331.844,8533.039,-10415.828125,933084.016
0,37,37,74,Rb,-51916.016,8381.7123,-11089.0,944265.867
-2,36,38,74,Sr,-40827.0,8221.0,0.0,956170.0
23,49,26,75,Fe,-14700.0,7996.0,15861.0,984219.0
21,48,27,75,Co,-30560.0,8197.0,13680.0,967192.0
19,47,28,75,Ni,-44240.0,8369.0,10230.0,952506.0
17,46,29,75,Cu,-54470.219,8495.0801,8088.69677734375,941523.817
15,45,30,75,Zn,-62558.916,8592.4981,5901.72314453125,932840.244
13,44,31,75,Ga,-68460.639,8660.7565,3396.333740234375,926504.484
11,43,32,75,Ge,-71856.973,8695.6096,1177.2301025390625,922858.37
9,42,33,75,As,-73034.203,8700.8748,-864.7139282226562,921594.562
7,41,34,75,Se,-72169.489,8678.9139,-3062.469482421875,922522.87
5,40,35,75,Br,-69107.02,8627.6497,-4783.38818359375,925810.566
3,39,36,75,Kr,-64323.632,8553.4399,-7104.9296875,930945.744
1,38,37,75,Rb,-57218.702,8448.2762,-10600.0,938573.2
-1,37,38,75,Sr,-46618.702,8296.5116,-14799.0,949952.767
-3,36,39,75,Y,-31820.0,8089.0,0.0,965840.0
24,50,26,76,Fe,-10590.0,7943.0,15070.0,988631.0
